sub_secid,secid
6554,6554
6555,6554
6556,6554
6557,6554
6558,6554
6559,6554
6560,6554
6561,6554
6562,6554
6563,6555
6564,6555
6565,6555
6566,6555
6567,6555
6568,6555
6569,6555
6570,6555
6571,6555
6572,6555
6573,6555
6574,6555
6575,6555
6576,6555
6577,6555
6578,6555
6579,6555
6580,6555
6581,6555
6582,6555
6583,6556
6584,6556
6585,6556
6586,6556
6587,6556
6588,6556
6589,6556
6590,6556
6591,6556
6592,6556
6593,6556
6594,6556
6595,6557
6596,6557
6597,6557
6598,6557
6600,6557
6601,6557
6602,6557
6603,6557
6604,6557
6605,6557
6606,6557
6607,6558
6608,6558
6609,6558
6610,6558
6611,6558
6612,6558
6613,6558
6614,6558
6615,6558
6616,6558
6617,6559
6618,6559
6619,6559
6620,6559
6621,6559
6622,6559
6623,6560
6624,6560
6625,6560
6626,6560
6627,6560
6628,6560
6629,6560
6630,6560
6631,6560
6632,6560
6633,6560
6634,6560
6635,6561
6636,6561
6637,6561
6638,6561
6639,6561
6640,6561
6641,6561
6642,6561
6643,6562
6644,6562
6645,6562
6646,6562
6647,6562
6648,6562
6649,6563
6650,6563
6651,6563
6652,6563
6653,6563
6654,6563
6655,6563
6656,6563
6657,6563
6658,6563
6659,6563
6660,6563
6661,6563
6662,6563
6663,6564
6664,6564
6665,6564
6666,6564
6667,6564
6668,6565
6669,6565
6670,6565
6671,6565
6672,6565
6673,6565
6674,6565
6675,6565
6676,6565
6677,6566
6678,6566
6679,6567
6680,6567
6681,6567
6682,6567
6683,6567
6684,6567
6685,6567
6686,6567
6687,6567
6688,6568
6689,6568
6690,6568
6691,6569
6692,6569
6693,6569
6694,6569
6695,6570
6697,6570
6698,6570
6699,6570
6700,6570
6701,6570
6702,6570
6703,6570
6704,6570
6705,6571
6706,6571
6707,6571
6708,6571
6709,6571
6710,6571
6711,6572
6712,6572
6714,6572
6715,6572
6716,6572
6717,6572
6718,6572
6719,6572
6720,6572
6721,6572
6722,6572
6723,6572
6724,6572
6725,6572
6726,6572
6727,6572
6728,6572
6729,6573
6730,6573
6731,6573
6732,6573
6733,6573
6734,6573
6735,6573
6736,6573
6737,6574
6738,6574
6739,6574
6740,6574
6741,6574
6742,6574
6743,6574
6744,6574
6745,6574
6746,6574
6747,6574
6748,6574
6749,6575
6750,6575
6751,6575
6752,6576
6753,6576
6754,6576
6755,6576
6756,6577
6757,6577
6758,6577
6759,6577
6760,6577
6761,6577
6762,6577
6763,6572
6764,6572
6765,6572
6766,6572
6767,6572
6768,6572
6769,6572
